Attendance,StudyHours,PreviousSGPA,SkillDevelopmentHours,SocialMediaHours,EnglishProficiency,Scholarship,CoCurricular,HealthIssues,FamilyIncome,CreditsCompleted,CurrentSemester,CurrentCGPA,PerformanceCategory
100,2,0.0,0,7,Advance,Yes,No,No,50000,0,1,0.0,At Risk
100,0,9.8,4,3,Intermediate,Yes,No,No,50000,60,8,9.85,Excellent
98,2,7.92,1,2,Intermediate,No,Yes,No,30000,25,3,8.82,Good
95,1,9.07,1,3,Basic,Yes,No,No,35000,11,1,9.07,Good
98,8,9.95,2,2,Intermediate,Yes,No,No,20000,23,3,9.65,Excellent
97,6,8.48,3,2,Intermediate,No,Yes,No,40000,20,4,7.0,Average
90,2,9.2,1,3,Intermediate,Yes,No,Yes,40000,11,2,9.2,Good
90,5,9.57,3,4,Basic,Yes,Yes,No,20000,11,2,9.57,Excellent
100,3,9.1,2,4,Intermediate,No,No,No,50000,87,8,9.35,Good
100,2,7.4,1,1,Intermediate,Yes,No,No,25000,25,3,8.45,Good
100,3,5.62,2,1,Intermediate,No,Yes,No,20000,60,6,7.88,Average
100,5,9.5,2,2,Intermediate,Yes,Yes,Yes,20000,11,2,9.5,Excellent
90,1,8.73,1,5,Intermediate,Yes,No,No,30000,23,3,8.75,Good
60,2,5.28,1,2,Intermediate,Yes,No,No,50000,26,3,7.5,Average
99,3,8.55,1,3,Intermediate,Yes,No,No,20000,11,2,8.55,Good
99,5,9.9,2,6,Intermediate,Yes,Yes,Yes,12500,76,7,9.83,Excellent
90,7,7.15,4,2,Intermediate,No,No,No,15000,125,12,8.15,Good
60,5,1.25,1,4,Basic,No,No,No,5000,11,2,1.25,At Risk
98,5,8.75,1,3,Intermediate,No,No,No,20000,0,1,8.75,Good
90,1,6.3,1,2,Basic,Yes,No,No,50000,12,2,6.3,At Risk
98,4,9.3,3,2,Intermediate,No,No,No,60000,25,3,9.28,Good
95,5,7.0,1,2,Intermediate,Yes,Yes,No,68000,120,11,8.38,Good
99,3,9.95,1,2,Intermediate,Yes,No,No,40000,58,6,9.98,Excellent
100,4,9.2,2,3,Intermediate,No,No,Yes,40000,24,3,9.02,Good
90,1,7.57,1,5,Intermediate,Yes,No,Yes,50000,25,3,7.35,Average
95,3,8.35,1,4,Intermediate,No,No,Yes,40000,120,11,7.95,Average
100,8,8.48,1,2,Basic,Yes,Yes,No,50000,12,2,8.48,Good
96,3,9.45,2,3,Intermediate,No,No,No,18000,141,11,8.88,Good
100,2,2.62,8,8,Basic,No,No,No,62488,42,5,7.43,Average
85,2,5.15,2,4,Basic,No,No,No,25000,23,3,5.5,At Risk
95,3,9.18,2,3,Basic,Yes,No,No,45000,11,2,9.18,Good
100,5,9.45,3,3,Intermediate,No,Yes,No,40000,11,2,9.45,Excellent
75,1,4.07,1,1,Intermediate,Yes,Yes,Yes,60000,79,7,6.52,At Risk
70,2,7.92,2,6,Basic,Yes,Yes,No,40000,22,3,8.48,Good
100,2,9.55,3,2,Intermediate,No,No,Yes,100000,23,3,9.78,Excellent
100,2,6.38,0,4,Basic,No,No,No,40000,11,2,6.38,At Risk
92,2,9.48,1,2,Intermediate,Yes,No,No,35000,23,3,9.72,Excellent
99,2,10.0,0,3,Basic,Yes,Yes,No,20000,10,1,10.0,Excellent
85,3,9.4,2,2,Intermediate,No,No,No,33000,120,11,9.05,Good
100,5,9.35,2,4,Basic,Yes,Yes,Yes,15000,88,8,9.78,Excellent
98,1,0.0,2,2,Basic,Yes,Yes,No,20000,0,1,0.0,At Risk
99,2,7.88,2,1,Basic,Yes,Yes,No,20000,13,1,7.88,Average
100,2,8.45,2,4,Intermediate,Yes,No,No,50000,23,3,8.0,Average
90,5,9.95,3,3,Intermediate,No,No,No,70000,58,6,9.93,Excellent
95,2,5.25,1,1,Basic,Yes,Yes,Yes,25000,14,2,5.25,At Risk
80,3,6.8,1,5,Intermediate,Yes,Yes,No,60000,62,8,5.62,At Risk
98,3,8.25,4,3,Advance,Yes,No,Yes,50000,23,3,8.48,Good
100,4,10.0,3,2,Advance,Yes,No,No,30000,23,3,9.3,Good
90,2,7.75,2,3,Basic,No,No,No,20000,12,2,7.75,Average
90,1,6.4,1,3,Advance,Yes,No,No,35000,23,3,5.02,At Risk
80,2,8.02,1,12,Intermediate,Yes,Yes,Yes,30000,12,2,8.02,Average
95,6,0.0,2,2,Intermediate,Yes,No,No,70000,0,1,0.0,At Risk
75,4,8.45,1,3,Intermediate,No,Yes,Yes,15000,14,12,8.45,Good
92,3,7.88,1,2,Basic,Yes,No,No,50000,11,1,7.88,Average
95,1,9.75,2,4,Basic,No,Yes,No,30000,11,2,9.75,Excellent
98,2,9.88,1,1,Intermediate,Yes,No,No,50000,12,2,9.88,Excellent
100,3,7.57,1,3,Intermediate,Yes,No,No,90000,12,2,7.57,Average
60,7,6.48,2,5,Intermediate,No,Yes,Yes,28000,133,14,6.4,At Risk
100,3,0.0,2,2,Advance,Yes,Yes,No,30000,0,1,0.0,At Risk
99,5,8.62,3,4,Intermediate,Yes,No,No,25000,25,3,8.24,Good
85,1,9.0,1,4,Basic,No,Yes,No,40000,11,2,9.0,Good
98,6,8.82,5,1,Basic,No,Yes,No,40000,11,2,8.82,Good
99,3,9.65,1,2,Intermediate,Yes,Yes,No,50000,90,8,9.22,Good
100,3,8.7,2,4,Advance,No,Yes,No,25000,11,2,6.0,At Risk
98,2,9.25,6,1,Intermediate,No,No,No,62488,54,5,9.43,Excellent
100,3,9.6,2,1,Advance,No,No,No,50000,11,2,9.6,Excellent
100,6,8.5,3,2,Intermediate,No,No,No,60000,85,8,8.22,Good
90,4,8.58,1,2,Basic,No,No,No,24000,14,1,8.58,Good
100,4,9.25,12,2,Intermediate,Yes,Yes,No,30000,11,2,9.25,Good
85,4,7.55,3,4,Advance,No,No,No,20000,70,6,8.0,Average
90,2,8.7,2,3,Basic,No,No,No,20000,23,3,7.45,Average
90,3,8.82,2,2,Advance,Yes,Yes,No,40000,13,2,8.82,Good
90,4,7.65,3,2,Advance,Yes,No,No,30000,87,8,8.52,Good
100,2,9.75,1,3,Basic,No,No,No,20000,11,2,9.75,Excellent
95,2,0.0,0,4,Intermediate,No,No,Yes,50000,0,1,0.0,At Risk
99,3,7.98,4,1,Intermediate,No,Yes,No,40000,101,9,8.43,Good
95,4,0.33,4,2,Basic,No,Yes,Yes,30000,11,2,0.33,At Risk
98,4,7.62,2,2,Basic,Yes,No,Yes,20000,11,2,7.62,Average
99,3,10.0,1,1,Advance,No,Yes,No,80000,11,1,10.0,Excellent
98,4,9.38,3,3,Intermediate,Yes,Yes,No,60000,11,2,9.38,Excellent
90,3,8.32,4,2,Intermediate,Yes,No,No,20000,12,2,8.32,Good
80,4,7.02,2,1,Basic,Yes,Yes,No,40000,35,3,7.02,Average
90,3,5.45,0,4,Intermediate,Yes,Yes,Yes,35000,11,2,5.2,At Risk
100,4,0.0,2,1,Intermediate,No,No,No,30000,0,1,0.0,At Risk
70,0,9.25,6,3,Intermediate,No,No,No,20000,70,8,9.38,Excellent
90,2,9.05,2,1,Intermediate,No,No,Yes,62488,140,13,7.5,Average
87,2,7.95,1,3,Basic,No,No,Yes,35000,11,3,7.95,Average
98,3,8.88,1,8,Basic,Yes,Yes,Yes,100000,11,1,8.98,Good
100,4,8.95,6,2,Basic,Yes,Yes,No,15000,23,3,9.38,Excellent
90,2,9.7,3,8,Basic,Yes,No,Yes,10000,12,2,9.7,Excellent
90,2,7.5,3,10,Basic,Yes,No,No,30000,12,2,7.5,Average
95,4,10.0,2,1,Intermediate,Yes,Yes,No,40000,11,2,10.0,Excellent
80,2,9.93,3,1,Basic,Yes,Yes,No,30000,11,2,9.93,Excellent
75,3,9.48,2,1,Intermediate,Yes,Yes,No,100000,25,3,9.22,Good
90,6,7.4,2,2,Intermediate,No,No,No,50000,111,11,7.22,Average
88,5,9.43,3,3,Intermediate,Yes,Yes,Yes,30000,49,5,9.65,Excellent
90,1,8.6,4,1,Intermediate,No,No,No,50000,124,11,8.7,Good
100,4,0.0,1,3,Advance,Yes,No,Yes,40000,0,1,0.0,At Risk
85,2,8.9,1,2,Intermediate,Yes,No,No,25000,23,3,9.15,Good
100,3,8.9,1,1,Basic,Yes,No,No,40000,12,2,8.9,Good
88,5,6.2,3,2,Intermediate,Yes,Yes,No,35000,23,4,6.85,At Risk
97,0,0.0,1,3,Basic,Yes,No,Yes,35000,0,1,0.0,At Risk
80,1,8.12,0,5,Basic,Yes,No,No,40000,11,2,8.0,Average
85,4,0.0,0,5,Basic,Yes,Yes,No,50000,0,1,0.0,At Risk
80,2,9.25,2,3,Intermediate,Yes,Yes,No,50000,39,4,8.5,Good
100,1,8.45,0,2,Intermediate,Yes,No,No,80000,25,4,8.95,Good
80,1,9.45,4,2,Intermediate,Yes,Yes,No,40000,49,4,9.75,Excellent
95,4,8.5,2,3,Intermediate,No,No,No,20000,106,10,8.75,Good
80,2,6.45,5,3,Intermediate,No,Yes,No,65000,106,10,7.32,Average
85,1,9.9,1,1,Advance,No,No,Yes,25000,85,8,9.25,Good
88,3,8.95,2,2,Intermediate,Yes,No,No,40000,25,3,9.4,Excellent
99,2,9.48,2,4,Intermediate,Yes,Yes,No,50000,23,3,9.78,Excellent
94-98,1,5.42,1,1,Intermediate,No,Yes,No,15000,44,5,7.65,Average
90,3,2.8,4,2,Intermediate,Yes,No,No,60000,32,4,4.7,At Risk
99,4,9.3,2,1,Intermediate,Yes,No,No,35000,25,3,9.18,Good
88,5,8.88,2,1,Basic,No,Yes,No,35000,11,2,8.88,Good
98,4,7.08,2,2,Intermediate,No,No,No,25000,65,8,7.05,Average
95,2,9.7,1,2,Basic,Yes,No,Yes,35000,11,2,9.7,Excellent
90,1,10.0,2,4,Intermediate,Yes,Yes,Yes,25000,12,2,10.0,Excellent
97,3,7.5,1,3,Intermediate,No,Yes,No,150000,87,8,9.15,Good
90,8,6.1,5,2,Intermediate,No,Yes,No,20000,90,12,6.1,At Risk
98,4,7.05,1,1,Intermediate,Yes,No,No,25000,23,3,7.5,Average
100,2,9.75,2,1,Intermediate,Yes,No,No,50000,11,2,9.75,Excellent
98,5,8.32,2,12,Basic,Yes,Yes,Yes,62488,12,2,8.32,Good
97,3,9.25,2,2,Basic,No,Yes,No,35000,11,2,9.25,Good
90,4,9.95,1,3,Intermediate,Yes,Yes,No,25000,11,2,9.95,Excellent
100,2,8.5,1,1,Basic,Yes,No,No,60000,11,1,9.5,Excellent
70,1,9.52,1,2,Intermediate,Yes,Yes,No,400000,11,2,9.52,Excellent
90,1,9.93,0,3,Intermediate,Yes,Yes,Yes,25000,11,2,9.93,Excellent
90,8,8.32,2,8,Basic,Yes,Yes,No,30000,12,2,8.32,Good
70,3,6.7,5,3,Intermediate,Yes,No,Yes,15000,23,3,7.22,Average
95,3,9.6,1,2,Intermediate,No,No,Yes,30000,11,2,9.6,Excellent
75,2,8.85,1,1,Advance,Yes,Yes,No,20000,25,3,9.22,Good
88,2,4.45,2,3,Intermediate,No,No,No,25000,20,3,7.88,Average
90,2,5.8,1,3,Intermediate,Yes,Yes,Yes,35000,24,3,7.0,Average
90,3,10.0,2,3,Basic,Yes,No,No,50000,11,2,10.0,Excellent
95,2,0.0,2,2,Intermediate,No,Yes,Yes,62488,0,1,0.0,At Risk
90,5,9.5,2,1,Basic,No,No,No,20000,12,2,9.5,Excellent
100,0,5.2,6,3,Basic,No,No,No,30000,49,5,7.28,Average
95,2,7.62,2,1,Basic,No,Yes,No,25000,12,2,7.62,Average
90,3,8.62,0,5,Advance,Yes,Yes,No,30000,12,2,8.62,Good
98,1,0.0,2,3,Basic,No,No,No,20000,0,1,0.0,At Risk
96,4,6.82,2,3,Basic,Yes,No,No,20000,12,1,6.82,At Risk
80,1,8.0,3,2,Intermediate,No,Yes,No,40000,132,11,8.22,Good
100,6,9.9,2,2,Intermediate,Yes,Yes,No,100000,85,8,9.85,Excellent
60,0,8.9,0,6,Intermediate,Yes,No,No,40000,87,7,9.22,Good
100,2,0.0,1,8,Basic,Yes,No,No,40000,0,1,0.0,At Risk
100,2,9.72,1,1,Basic,Yes,Yes,No,70000,11,2,9.72,Excellent
100,2,0.0,1,7,Intermediate,Yes,Yes,No,15000,0,1,0.0,At Risk
50,4,9.72,1,3,Basic,Yes,No,No,80000,23,3,8.4,Good
10,3,9.2,1,2,Basic,Yes,No,No,24000,14,2,9.2,Good
100,1,0.0,2,3,Intermediate,Yes,No,No,20000,0,1,0.0,At Risk
98,5,7.32,2,2,Intermediate,Yes,Yes,No,35000,11,2,7.32,Average
100,4,9.52,2,2,Basic,Yes,No,No,50000,12,2,9.52,Excellent
98,3,8.43,1,2,Intermediate,No,No,Yes,25000,11,2,8.43,Good
100,3,8.12,1,3,Intermediate,Yes,No,No,62488,10,2,8.12,Good
85,3,7.22,2,3,Basic,Yes,No,No,30000,11,2,7.22,Average
95,2,3.62,1,3,Basic,No,Yes,Yes,40000,11,2,3.62,At Risk
98,2,9.32,2,4,Intermediate,No,No,No,35000,11,2,9.32,Good
92,2,7.95,4,1,Intermediate,Yes,No,No,25000,11,2,7.95,Average
99,5,8.75,1,4,Intermediate,No,Yes,No,30000,100,12,9.25,Good
90,1,7.25,1,2,Basic,Yes,No,Yes,60000,11,2,7.25,Average
95,6,8.7,2,2,Basic,Yes,No,No,25000,12,2,8.7,Good
95,3,9.0,3,4,Basic,Yes,No,No,25000,11,2,9.0,Good
90,2,7.82,4,2,Basic,No,No,No,40000,11,2,7.92,Average
90,3,3.55,2,2,Basic,Yes,No,No,50000,5,2,3.55,At Risk
88,2,7.82,2,1,Intermediate,Yes,No,No,40000,11,2,7.82,Average
100,3,9.62,1,2,Intermediate,Yes,No,No,30000,12,2,9.62,Excellent
100,4,9.0,1,1,Intermediate,Yes,Yes,Yes,35000,11,2,9.0,Good
100,2,8.85,1,1,Intermediate,Yes,Yes,No,14000,11,2,8.85,Good
88,1,8.85,3,4,Basic,Yes,No,No,62488,11,2,8.88,Good
95,3,5.25,6,4,Intermediate,No,No,No,10000,12,2,5.25,At Risk
90,3,6.25,1,5,Basic,Yes,Yes,No,25000,12,2,6.25,At Risk
90,7,8.28,5,1,Intermediate,Yes,Yes,No,30000,139,11,9.4,Excellent
85,1,9.38,0,4,Advance,No,No,No,50000,12,2,9.38,Excellent
98,6,9.25,3,2,Intermediate,Yes,No,Yes,25000,13,2,9.25,Good
97,3,8.75,3,1,Intermediate,No,No,Yes,33000,13,2,8.75,Good
90,3,9.25,2,4,Basic,Yes,No,No,60000,11,2,9.25,Good
70,3,8.1,2,3,Basic,Yes,No,No,40000,11,2,8.1,Average
99,2,5.75,1,2,Intermediate,No,No,No,60000,113,11,7.0,Average
70,2,9.68,2,3,Intermediate,No,No,No,70000,141,12,9.0,Good
37,3,8.1,1,4,Intermediate,Yes,Yes,No,25000,27,3,8.75,Good
85,3,9.12,2,3,Basic,No,No,No,62488,11,2,9.12,Good
80,4,8.8,2,3,Intermediate,Yes,Yes,No,25000,21,3,8.75,Good
95,3,6.82,4,2,Basic,Yes,No,No,21000,11,2,6.82,At Risk
90,3,9.48,2,1,Basic,Yes,No,No,13000,23,3,9.7,Excellent
70,2,9.9,0,2,Basic,Yes,No,No,30000,116,11,9.78,Excellent
90,5,7.88,1,2,Basic,No,No,No,60000,11,2,7.88,Average
100,7,8.5,2,1,Intermediate,No,Yes,Yes,15000,12,2,8.5,Good
90,2,8.73,2,1,Intermediate,No,No,No,20000,126,11,8.48,Good
100,6,9.62,2,1,Intermediate,No,Yes,No,30000,12,2,9.62,Excellent
90,4,5.05,2,1,Intermediate,No,Yes,No,35000,71,8,6.0,At Risk
50,5,9.72,2,3,Basic,Yes,No,No,80000,23,3,8.45,Good
90,2,9.83,3,2,Intermediate,Yes,No,No,55000,12,2,9.83,Excellent
99,5,9.75,1,2,Basic,No,No,No,20000,11,2,9.75,Excellent
95,3,8.68,1,3,Intermediate,Yes,No,No,30000,12,2,8.68,Good
90,2,9.25,1,2,Intermediate,No,Yes,No,30000,12,2,9.25,Good
100,4,8.62,2,2,Intermediate,Yes,Yes,Yes,20000,11,2,8.62,Good
98,3,9.32,1,2,Intermediate,Yes,No,No,100000,11,2,9.32,Good
95,4,9.32,3,2,Intermediate,Yes,Yes,Yes,35000,26,3,9.2,Good
95,3,9.12,2,1,Intermediate,Yes,No,No,20000,11,2,9.12,Good
100,4,8.62,2,3,Basic,Yes,No,No,35000,11,2,8.62,Good
100,4,6.45,2,3,Basic,Yes,No,No,35000,11,2,6.45,At Risk
98,4,4.68,5,2,Advance,Yes,No,Yes,20000,32,3,8.75,Good
93,1,6.7,1,2,Intermediate,No,No,No,40000,77,7,7.88,Average
98,4,9.9,3,1,Intermediate,Yes,Yes,No,25000,76,7,9.98,Excellent
90,4,9.2,2,1,Intermediate,Yes,No,Yes,62488,84,8,9.32,Good
50,5,8.38,2,10,Basic,Yes,Yes,No,50000,90,9,5.75,At Risk
90,4,5.1,6,4,Intermediate,No,Yes,No,50000,93,9,7.15,Average
95,0,9.35,1,2,Advance,Yes,No,No,30000,90,8,9.18,Good
95,4,9.38,1,2,Intermediate,No,No,No,250000,110,8,9.38,Excellent
90,2,8.25,2,1,Intermediate,No,No,No,50000,86,8,8.15,Good
98,5,9.3,3,4,Intermediate,Yes,Yes,Yes,25000,90,8,8.62,Good
88,4,8.02,2,3,Intermediate,No,Yes,No,40000,85,8,8.55,Good
97,1,9.1,0,3,Intermediate,Yes,Yes,No,60000,76,7,9.12,Good
90,3,7.15,2,5,Advance,Yes,No,Yes,50000,87,8,8.55,Good
90,4,9.45,2,1,Intermediate,Yes,No,No,30000,93,8,9.7,Excellent
99,5,6.65,2,5,Basic,No,Yes,No,50000,115,13,6.9,Average
90,2,7.6,1,3,Advance,No,Yes,No,100000,85,8,7.18,Average
80,1,4.4,1,4,Intermediate,No,No,No,35000,64,8,6.38,At Risk
98,3,7.88,2,2,Advance,Yes,No,No,5000,84,8,9.28,Good
100,2,10.0,4,1,Intermediate,Yes,No,No,50000,86,8,9.05,Good
100,3,8.95,3,2,Intermediate,No,No,No,45000,14,2,8.95,Good
88,6,8.5,2,2,Intermediate,No,Yes,Yes,30000,11,1,8.5,Good
78,2,6.1,2,16,Advance,No,No,Yes,30000,76,8,6.92,Average
97,6,9.85,1,1,Advance,Yes,Yes,No,40000,75,7,9.78,Excellent
80,3,7.5,0,1,Intermediate,Yes,Yes,Yes,50000,90,10,7.12,Average
85,1,8.3,1,3,Intermediate,Yes,No,Yes,50000,88,8,8.18,Good
90,2,7.0,2,5,Basic,Yes,No,No,30000,11,2,7.0,Average
99,3,8.48,2,3,Intermediate,No,Yes,No,40000,70,6,8.32,Good
95,1,10.0,1,2,Intermediate,No,Yes,No,40000,12,2,10.0,Excellent
100,1,8.0,2,1,Intermediate,Yes,No,No,40000,117,11,8.6,Good
88,2,8.28,1,2,Intermediate,Yes,Yes,No,20000,70,7,7.25,Average
85,5,7.4,1,4,Intermediate,No,Yes,No,20000,136,14,7.65,Average
100,3,9.2,2,4,Basic,Yes,No,No,35000,11,2,9.2,Good
100,4,9.45,2,6,Basic,No,Yes,No,4000,11,2,9.45,Excellent
95,4,9.68,3,1,Intermediate,Yes,Yes,Yes,15000,86,7,9.2,Good
95,10,6.7,2,2,Basic,Yes,No,No,40000,25,4,6.18,At Risk
90,3,9.75,1,2,Intermediate,Yes,No,No,20000,11,2,9.75,Excellent
90,2,6.62,4,2,Advance,No,No,No,62488,130,13,7.43,Average
87,2,8.22,1,3,Intermediate,No,No,No,100000,100,8,9.12,Good
97,3,7.85,2,2,Intermediate,No,Yes,No,48400,95,8,9.05,Good
80,4,7.88,10,8,Intermediate,No,No,Yes,30000,140,17,8.48,Good
100,2,8.65,3,2,Intermediate,Yes,No,No,80000,88,8,8.88,Good
99,1,8.3,0,3,Intermediate,No,No,No,40000,85,8,7.92,Average
95,3,8.02,2,4,Intermediate,Yes,No,No,25000,76,7,8.4,Good
100,5,9.83,4,2,Basic,Yes,No,No,15000,11,2,9.83,Excellent
90,6,9.85,3,1,Intermediate,No,No,No,40000,130,11,9.4,Excellent
95,4,7.18,2,3,Intermediate,No,Yes,No,200000,24,3,5.78,At Risk
100,3,8.28,2,2,Basic,No,No,No,30000,49,5,8.18,Good
99,5,10.0,1,1,Intermediate,Yes,Yes,No,35000,11,2,10.0,Excellent
100,0,10.0,1,4,Basic,Yes,No,No,20000,12,2,10.0,Excellent
75,1,5.2,1,2,Intermediate,Yes,No,Yes,50000,20,3,6.7,At Risk
80,6,6.55,2,3,Basic,No,No,No,5000,18,3,6.6,At Risk
100,2,9.72,2,8,Basic,Yes,Yes,No,35000,12,1,9.72,Excellent
70,2,6.88,1,8,Advance,No,No,No,70000,111,14,7.2,Average
98,5,10.0,3,2,Intermediate,No,No,No,30000,87,8,9.93,Excellent
95,3,8.92,2,2,Intermediate,Yes,No,No,40000,90,8,8.92,Good
98,2,7.98,0,2,Intermediate,Yes,No,Yes,62488,90,8,8.52,Good
99,8,9.0,3,2,Intermediate,Yes,No,No,24000,130,11,9.75,Excellent
85,6,7.2,3,6,Intermediate,No,No,No,100000,68,7,7.2,Average
90,3,6.85,2,6,Basic,Yes,No,No,20000,23,2,6.85,At Risk
50,5,3.52,3,3,Basic,No,No,No,10000,25,3,6.38,At Risk
100,5,8.55,2,3,Intermediate,No,No,No,40000,122,11,8.3,Good
99,5,7.75,2,3,Intermediate,No,No,No,40000,118,11,7.7,Average
90,2,9.9,2,1,Advance,Yes,No,No,120000,87,8,9.65,Excellent
70,3,8.22,1,2,Intermediate,Yes,No,No,40000,11,2,8.22,Good
100,3,9.38,2,3,Basic,Yes,No,No,50000,12,1,9.38,Excellent
100,5,9.15,2,2,Intermediate,Yes,No,No,50000,87,8,9.5,Excellent
97,2,0.0,2,1,Basic,Yes,Yes,No,45000,0,1,0.0,At Risk
90,4,9.7,2,1,Intermediate,Yes,No,No,30000,92,8,9.28,Good
90,2,10.0,2,1,Intermediate,Yes,Yes,No,30000,75,8,9.72,Excellent
90,2,9.1,2,3,Intermediate,Yes,Yes,No,18000,100,8,8.55,Good
90,2,6.0,2,3,Intermediate,Yes,No,No,50000,86,13,6.02,At Risk
90,2,6.68,2,3,Basic,No,Yes,Yes,25000,12,2,6.68,At Risk
80,4,7.15,3,3,Basic,Yes,No,Yes,50000,15,2,7.15,Average
80,1,6.57,1,2,Intermediate,Yes,Yes,Yes,25000,27,3,7.68,Average
96,3,8.7,2,1,Intermediate,No,No,Yes,20000,87,8,9.35,Good
99,1,9.38,1,4,Intermediate,Yes,No,No,30000,12,2,9.38,Excellent
95,2,9.85,2,1,Intermediate,Yes,Yes,No,30000,90,8,9.7,Excellent
100,2,0.0,1,5,Intermediate,Yes,No,No,40000,0,1,0.0,At Risk
99,2,10.0,2,2,Basic,Yes,No,No,62488,13,1,10.0,Excellent
80,2,8.75,1,2,Intermediate,Yes,No,Yes,90000,87,8,9.07,Good
85,3,4.77,1,2,Basic,Yes,No,No,300000,6,2,4.38,At Risk
90,2,9.62,1,1,Basic,Yes,No,No,30000,11,2,9.62,Excellent
95,1,4.92,2,2,Basic,No,Yes,No,40000,85,8,6.92,Average
98,2,8.77,3,2,Intermediate,Yes,No,No,40000,11,2,8.77,Good
95,3,9.62,2,2,Basic,No,No,No,20000,11,2,9.62,Excellent
90,3,10.0,2,5,Basic,Yes,No,No,50000,11,2,10.0,Excellent
90,4,8.02,1,1,Basic,No,No,No,40000,11,2,8.02,Average
95,3,7.88,2,2,Intermediate,Yes,Yes,No,50000,84,8,9.12,Good
80,4,7.75,1,1,Basic,Yes,Yes,Yes,20000,14,2,7.75,Average
90,1,8.05,3,2,Intermediate,Yes,No,No,13500,95,10,8.68,Good
70,3,8.8,2,4,Intermediate,Yes,No,No,25000,23,3,9.43,Excellent
85,2,8.1,1,2,Intermediate,Yes,No,No,80000,23,3,8.3,Good
90,10,9.85,4,2,Intermediate,No,Yes,Yes,25000,126,11,9.88,Excellent
80,4,6.25,1,7,Intermediate,No,Yes,No,70000,90,8,7.12,Average
88,3,6.62,5,3,Basic,No,No,Yes,35000,70,8,7.12,Average
80,1,7.28,1,6,Intermediate,Yes,No,No,25000,11,2,7.28,Average
100,5,8.05,1,1,Intermediate,No,No,No,25000,103,22,7.08,Average
100,1,9.18,1,1,Basic,Yes,Yes,No,62488,75,7,8.7,Good
99,1,10.0,2,2,Intermediate,Yes,No,No,30000,12,2,10.0,Excellent
95,3,9.8,1,5,Basic,Yes,Yes,No,35000,12,2,9.8,Excellent
90,6,7.55,5,6,Advance,No,No,No,40000,123,11,7.62,Average
100,13,9.43,2,1,Advance,No,No,No,5000,88,8,9.22,Good
96,2,9.72,1,3,Intermediate,No,Yes,No,90000,35,4,9.25,Good
90,4,7.65,2,1,Intermediate,No,No,No,40000,140,15,7.15,Average
57,1,9.15,3,4,Intermediate,No,Yes,Yes,45000,77,8,7.52,Average
100,3,5.38,4,3,Basic,Yes,No,No,25000,70,8,6.35,At Risk
85,1,8.48,2,1,Intermediate,Yes,No,No,40000,90,9,8.22,Good
95,2,9.45,1,2,Intermediate,No,No,No,60000,125,11,8.85,Good
90,6,8.77,4,4,Intermediate,No,Yes,No,100000,143,16,8.77,Good
60,1,7.3,1,2,Intermediate,No,No,Yes,62488,58,7,7.25,Average
90,5,5.32,2,3,Advance,No,Yes,No,40000,87,8,6.12,At Risk
80,2,8.5,1,2,Intermediate,No,No,Yes,35000,80,7,7.0,Average
98,3,0.0,1,2,Intermediate,Yes,Yes,No,30000,0,1,0.0,At Risk
80,2,8.5,3,1,Intermediate,Yes,Yes,Yes,40000,87,8,8.75,Good
100,1,6.48,1,1,Basic,No,Yes,No,40000,24,4,7.52,Average
97,2,9.45,1,3,Intermediate,Yes,Yes,No,15000,87,8,9.43,Excellent
95,2,4.38,2,10,Basic,Yes,No,No,30000,11,2,4.38,At Risk
98,0,8.5,0,2,Intermediate,No,Yes,Yes,50000,75,7,9.12,Good
99,7,3.8,1,3,Basic,Yes,No,No,60000,8,3,4.1,At Risk
90,2,9.15,3,4,Advance,No,Yes,Yes,60000,123,11,8.43,Good
90,1,8.75,3,2,Intermediate,No,Yes,No,25000,90,8,7.8,Average
70,2,8.98,2,4,Intermediate,No,Yes,No,50000,123,11,8.88,Good
100,4,7.57,3,3,Basic,Yes,No,No,7000,23,3,7.57,Average
90,2,9.85,1,2,Basic,Yes,No,Yes,20000,91,8,9.75,Excellent
95,3,10.0,3,2,Intermediate,Yes,Yes,No,40000,12,2,10.0,Excellent
97,3,8.73,3,4,Intermediate,No,No,No,45000,80,7,8.6,Good
90,1,7.5,1,1,Intermediate,Yes,Yes,Yes,30000,87,8,7.75,Average
91,3,8.62,6,1,Intermediate,No,Yes,No,19000,117,11,8.35,Good
90,2,8.95,2,4,Intermediate,No,No,Yes,50000,72,6,8.75,Good
80,4,7.4,1,3,Advance,No,No,No,100000,96,11,6.52,At Risk
90,2,8.45,1,2,Intermediate,Yes,Yes,No,40000,24,3,8.82,Good
95,2,7.8,1,3,Intermediate,Yes,Yes,No,50000,24,3,7.68,Average
98,3,7.15,2,2,Basic,No,No,No,30000,133,13,7.2,Average
90,4,7.75,1,1,Basic,No,No,No,45000,88,10,8.18,Good
95,1,9.8,2,1,Intermediate,Yes,No,No,20000,11,2,9.8,Excellent
95,3,6.9,2,5,Advance,No,No,No,25000,136,14,6.6,At Risk
70,2,8.8,1,6,Intermediate,Yes,Yes,Yes,62488,112,10,9.45,Excellent
90,3,10.0,3,1,Intermediate,Yes,Yes,No,25000,123,11,9.75,Excellent
90,3,9.6,2,3,Advance,Yes,No,No,62488,90,8,9.45,Excellent
86,1,8.6,2,6,Intermediate,No,No,No,300000,125,11,8.65,Good
